occurrence_id,species,countryCode,location,source,longitude,latitude,tas_mean_c,prec_mean_annual
1,Vespa crabro,NL,NA,gbif,4.65,51.75,0.9967260360717773,816
2,Vespa crabro,DE,NA,gbif,11.59,49.92,0.7830145835876465,810
3,Vespa crabro,IT,NA,gbif,10.32,45.98,0.7545312404632568,654
4,Vespa crabro,NL,NA,gbif,5.1,52.65,0.969604206085205,809
5,Vespa crabro,DE,NA,gbif,13.79,52.46,0.9002145767211914,560
6,Vespa crabro,NA,"Hoofdweg, Loenen, Gelderland, NL",inat,6.03,52.13,0.9595292091369629,817
7,Vespa crabro,NA,"64-730 Kałądek, Polska",inat,16.21,52.91,0.852718734741211,551
8,Vespa crabro,NA,"07 Hainspitz, Deutschland",inat,11.83,50.96,0.8699322700500488,641
9,Vespa crabro,NA,"Camarines, 74960 Annecy, France",inat,6.1,45.9,0.9617656707763672,1054
10,Vespa crabro,NA,"Roecklplatz, 80469 München, Deutschland",inat,11.57,48.12,0.8841385841369629,1006
11,Vespa crabro,NA,"Timișoara, Romania",inat,21.26,45.78,1.0678229331970215,589
12,Vespa crabro,NA,"25620 Mamirolle, France",inat,6.16,47.2,0.9826781272888183,1156
13,Vespa crabro,NL,NA,gbif,3.8,51.2,1.0463364601135254,769
14,Vespa crabro,NL,NA,gbif,4.7,52,0.9664947509765625,818
15,Vespa crabro,NL,NA,gbif,4.95,52.1,0.9539072990417481,799
16,Vespa crabro,NA,"Bergivaux, 57130 Ancy-Dornot, France",inat,6.05,49.05,0.989382266998291,773
17,Vespa crabro,NA,"Zeddam, Netherlands",inat,6.24,51.9,0.9738615036010743,761
18,Vespa crabro,NA,"Avenue de Nîmes, Tournon-sur-Rhône, Auvergne-Rhône-Alpes, FR",inat,4.83,45.05,1.1310145378112793,895
19,Vespa crabro,GB,NA,gbif,-1.33,50.92,1.0439030647277832,782
20,Vespa crabro,NA,"25845 Nordstrand, Deutschland",inat,8.84,54.46,0.8610695838928223,839
21,Vespa crabro,NA,"Kórnik/Szkoła nr 1, 62-035 Kórnik, Polska",inat,17.09,52.25,0.8466291427612305,503
22,Vespa crabro,IT,NA,gbif,10.19,45.35,1.2578739166259765,874
23,Vespa crabro,AT,NA,gbif,15.47,47.02,0.8947572708129883,862
24,Vespa crabro,NL,NA,gbif,5.65,51.2,0.9874073028564453,732
25,Vespa crabro,NA,"15040 Bozzole AL, Italia",inat,8.61,45.07,1.2511219024658202,782
26,Vespa crabro,NL,NA,gbif,5.9,52.2,0.9391374588012695,876
27,Vespa crabro,NA,"Kaisersbach, Deutschland",inat,9.61,48.91,0.8363228797912597,1081
28,Vespa crabro,DE,NA,gbif,11.04,50.96,0.827299976348877,584
29,Vespa crabro,NL,NA,gbif,5.15,51.9,0.9610124588012695,776
30,Vespa crabro,DE,NA,gbif,12.34,51.36,0.933927059173584,548
31,Vespa crabro,FR,NA,gbif,-0.61,43.17,1.3609167098999024,1260
32,Vespa crabro,NA,"Breitenlee, Wien, Österreich",inat,16.5,48.26,1.0173728942871094,582
33,Vespa crabro,NL,NA,gbif,5.95,52.3,0.9391374588012695,876
34,Vespa crabro,CZ,NA,gbif,14.27,50,0.8207864761352539,525
35,Vespa crabro,NL,NA,gbif,4,51.3,1.0351354598999023,797
36,Vespa crabro,NA,"Grüner Weg, Marl, North Rhine-Westphalia, DE",inat,7.08,51.67,0.9781885147094727,837
37,Vespa crabro,NA,"23018 Talamona SO, Italia",inat,9.63,46.14,0.6013031005859375,1022
38,Vespa crabro,NA,"Eure, Haute-Normandie, FR",inat,0.97,48.91,1.0121155738830567,679
39,Vespa crabro,NA,"Bad Wilsnacker Straße, Bad Wilsnack, Brandenburg, DE",inat,11.86,52.96,0.9347749710083008,573
40,Vespa crabro,NL,NA,gbif,6.2,52.65,0.9588500022888183,798
41,Vespa crabro,NA,Hünxe,inat,6.74,51.66,1.0405062675476073,802
