occurrence_id,species,countryCode,location,source,longitude,latitude,tas_mean_c,prec_mean_annual,elevation_m,ecosystem_code,Temperatur,Moisture,Landcover,Landforms,Climate_Re,Red,Green,Blue,W_Ecosystm,color
3186,Vespa velutina,BE,NA,gbif,5.3,50.89,11.47307692307703,50.76923076923077,39,120,Cool Temperate,Moist,Settlement,Plains,Cool Temperate Moist,78,119,2,Cool Temperate Moist Settlement on Plains,#4E7702
3187,Vespa velutina,BE,NA,gbif,3.2,51.19,11.496153846153902,69,7,120,Cool Temperate,Moist,Settlement,Plains,Cool Temperate Moist,78,119,2,Cool Temperate Moist Settlement on Plains,#4E7702
3188,Vespa velutina,BE,NA,gbif,4.83,51.14,11.442307692307793,54.46153846153846,14,116,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,29,153,10,Cool Temperate Moist Cropland on Plains,#1D990A
3189,Vespa velutina,NL,NA,gbif,5.5,51.4,NA,NA,24,116,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,29,153,10,Cool Temperate Moist Cropland on Plains,#1D990A
3190,Vespa velutina,BE,NA,gbif,4.13,51.02,11.496153846153902,56.84615384615385,4,160,Warm Temperate,Moist,Cropland,Plains,Warm Temperate Moist,105,207,54,Warm Temperate Moist Cropland on Plains,#69CF36
3191,Vespa velutina,BE,NA,gbif,4.45,51.14,11.411538461538557,57.84615384615385,18,120,Cool Temperate,Moist,Settlement,Plains,Cool Temperate Moist,78,119,2,Cool Temperate Moist Settlement on Plains,#4E7702
3192,Vespa velutina,BE,NA,gbif,4.35,50.98,11.457692307692357,56.23076923076923,14,116,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,29,153,10,Cool Temperate Moist Cropland on Plains,#1D990A
3193,Vespa velutina,NA,"Plaça del Vi, Ajuntament, 17004 Girona, Spain",inat,2.83,41.98,14.988461538461593,75.92307692307692,130,172,Warm Temperate,Moist,Settlement,Mountains,Warm Temperate Moist,105,89,18,Warm Temperate Moist Settlement on Mountains,#695912
3194,Vespa velutina,BE,NA,gbif,3.25,51.32,11.58846153846156,73.3076923076923,2,116,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,29,153,10,Cool Temperate Moist Cropland on Plains,#1D990A
3195,Vespa velutina,NA,"Noord-Holland, NL",inat,4.89,52.31,10.934615384615428,78.53846153846153,4,128,Cool Temperate,Moist,Grassland,Plains,Cool Temperate Moist,22,133,0,Cool Temperate Moist Grassland on Plains,#168500
