PC1,PC2,PC3,PC4,species,longitude,latitude
0.06738737766258514,0.6891523511351947,-0.024795114724696508,0.5985166196795783,Vespa crabro,6.03,52.13
-0.21107489304677357,-1.3985279176779581,2.1195963582088733,-0.67060889459491,Vespa crabro,11.83,50.96
-2.1364625586072377,-1.4066613087528406,0.5842348468124248,-0.38250281449465295,Vespa crabro,11.57,48.12
0.7512833294649561,1.4448095258671625,-0.157638960598195,-0.629408552772403,Vespa crabro,21.26,45.78
0.5548442678726626,0.05687623325756561,0.0954204866783708,0.3738526832272264,Vespa crabro,3.8,51.2
-0.3774095940732864,-0.1280908133056562,0.34859551660331944,-0.3941982479061914,Vespa crabro,6.05,49.05
0.5289115470395438,-1.3055085266990205,0.8065883040516585,0.34105810656825275,Vespa crabro,-1.33,50.92
0.39177125488386183,0.5150591337358074,0.24951284299257112,0.23955794188433052,Vespa crabro,5.65,51.2
-0.34244508460103684,0.8976041019824271,-0.2835866588615569,0.6534632381027764,Vespa crabro,5.9,52.2
-1.090993291015684,-0.44213370563125265,-3.1060256676960125,0.4448323219562114,Vespa crabro,-0.61,43.17
-0.44343908719218306,1.1414268302079436,1.3339565112261464,-1.3077410687206104,Vespa crabro,14.27,50
-3.726687346010494,2.046706482802222,-0.10939105922641254,-0.5066513837076777,Vespa crabro,9.63,46.14
0.4618404412996094,-1.811540851303482,1.5764495052561245,-0.3333715594083993,Vespa crabro,0.97,48.91
1.0427430349511742,-1.0736795902777772,2.003764076748813,-0.0071196045779757956,Vespa crabro,11.86,52.96
0.33527526966324817,-0.3229313375503302,0.6318268665085541,0.6927572524286179,Vespa crabro,6.2,52.65
0.3386864222344581,0.054193789563544856,-0.011262864620296131,0.3849439624583513,Vespa crabro,6.74,51.66
-0.48524175054690133,-1.4821491932893116,0.8652484197096599,0.49880683559821515,Vespa crabro,6.1,50.78
0.2850126828346729,0.1857325076191349,0.09092405401968497,0.6280922824836234,Vespa crabro,4.65,51.8
-0.7089954933272483,-0.17037600295412117,0.3702197836175187,0.22089039953470985,Vespa crabro,6.23,50.79
0.1372559479533251,1.7643622435171333,-0.44500667698380736,-0.2567330280176074,Vespa crabro,8.9,50.1
0.32802603423324334,-0.07442031244812233,0.366928626477438,0.5539588621999132,Vespa crabro,5.1,51.6
0.5343168474699085,0.16038676900440368,0.060956593494655514,0.419262256785942,Vespa crabro,3.95,51.25
0.7259461794072833,1.3438733627942572,0.7178617078193532,-0.2803904817105042,Vespa crabro,13.38,52.48
0.2450112238857083,-0.7024993689888316,0.7608760638083598,0.6902329172546031,Vespa crabro,6.1,52.05
0.6701844948802077,-0.13473722102032948,1.4078560749715254,-0.43470226211304064,Vespa crabro,12.35,51.29
0.6227111943929179,1.5300978054270296,0.2982875193124754,-0.2471655935790589,Vespa crabro,-0.03,52.15
0.8750085084483531,1.540978408623356,0.8954515248235344,-0.2961114727506359,Vespa crabro,14.24,52.59
0.4062804893817656,-0.3981924403631776,0.4126394331063852,0.5899053393141208,Vespa crabro,4.5,51.55
0.65846904156773,0.11309834162040279,0.8644488667954329,-0.2099577156257443,Vespa crabro,-0.06,51.74
-0.2661476875154267,1.5245071476501078,0.03285907665772836,0.6319303989736865,Vespa crabro,9.99,53.76
0.3913025472832109,-1.704777690443277,1.2809523741626485,0.3961178892465144,Vespa crabro,6.03,50.98
0.7612207994114913,-0.41551617272619645,0.022705052275883424,-0.3733271226677042,Vespa crabro,0.99,46.77
0.2814383693958744,0.1763403948437713,0.3269615916896467,0.5819862427647282,Vespa crabro,5.65,51.95
0.3992630520271435,-0.7315092402647576,0.6607900442137014,0.692119781547598,Vespa crabro,4.4,51.75
0.15281761533691762,0.031039784267651326,0.04837312351398904,0.7815276915452694,Vespa crabro,4.6,51.85
1.1549536915845076,0.25199237702526084,1.108587576207504,-0.2426132944884002,Vespa crabro,-0.15,52.43
0.5733557116557093,-0.2297659957694321,0.25540841235466033,0.4990369257027276,Vespa crabro,3.8,51.45
-2.2193889882333164,0.14366198885808942,0.33542206042520856,-0.7762439577293042,Vespa crabro,11.19,48.17
0.2504008660508144,0.39260082787233797,-0.04807618255925123,0.5773945043355051,Vespa crabro,4.75,51.55
-1.4933273633467674,-0.09087712744468995,0.15599223260031095,-0.08910710861963432,Vespa crabro,5.97,49.48
0.9385958173123692,0.17181108282546523,0.954154620273,-0.6737885314621708,Vespa crabro,17.65,47.75
-2.2302628510714606,-1.0772318428576086,1.616113805182644,-2.9615414132579767,Vespa crabro,11.2,46.02
0.6459956923154908,1.9559270258159014,0.3720637286629761,-0.32276573851764634,Vespa crabro,13.43,52.43
2.0567229883744607,-0.04916669570450673,-1.0725567832828167,-1.6170393064844342,Vespa crabro,12.6,42.22
-1.7851181991257492,-0.6251068960899283,1.3389749974914134,-2.7536073878702436,Vespa crabro,23.73,42.39
-0.2274775995969483,0.5724197507796723,0.034675734051438714,0.4483094773322228,Vespa crabro,8.66,52.16
0.38093350536370385,1.0254238709703796,-0.14617124835022435,0.21495635436443855,Vespa crabro,6.38,51.51
0.1207773178976605,0.899101688838664,0.030432721163366705,0.5631495871935549,Vespa crabro,6.65,52.25
0.47370578003481206,0.0779007907141434,-1.7370856206917633,0.18795355004335754,Vespa crabro,12.22,45.76
0.05636304589663166,1.4397583085079317,-0.6176810491025304,0.6317238260593449,Vespa crabro,4.2,51.85
0.8533815911974145,1.811707727852039,-0.208383246949988,-0.9703982609715011,Vespa crabro,18.67,47.15
