occurrence_id,species,countryCode,location,source,longitude,latitude,tas_mean_c,prec_mean_annual,elevation_m
3369,Vespa velutina,BE,NA,gbif,5.2,50.89,11.342307692307712,50.76923076923077,49
3370,Vespa velutina,BE,NA,gbif,4.02,50.96,11.457692307692357,55.38461538461539,10
3371,Vespa velutina,NA,"76139 Karlsruhe, Deutschland",inat,8.45,49.04,11.911538461538557,53.23076923076923,119
3372,Vespa velutina,BE,NA,gbif,4.44,50.8,11.042307692307702,57.92307692307692,108
3373,Vespa velutina,NL,NA,gbif,5.05,52,NA,NA,1
3374,Vespa velutina,NA,"40510 Seignosse, France",inat,-1.44,43.7,15.18846153846158,159.69230769230768,-10
3375,Vespa velutina,BE,NA,gbif,5.59,51.04,NA,NA,76
3376,Vespa velutina,NA,"Gent Sint-Pietersstation perron 1, 9000 Gent, België",inat,3.71,51.04,NA,NA,9
3377,Vespa velutina,BE,NA,gbif,4.49,51.1,11.473076923076974,55.92307692307692,6
3378,Vespa velutina,NA,"Setubal (São Julião, Nossa Senhora da Anunciada e Santa Maria da Graça), Portugal",inat,-8.91,38.51,16.550000000000068,44.76923076923077,-14
3379,Vespa velutina,NA,"Santa Marta, 2750 Cascais, Portugal",inat,-9.42,38.69,15.926923076923115,36.07692307692308,17
3380,Vespa velutina,NL,NA,gbif,3.85,51.3,NA,NA,2
3381,Vespa velutina,BE,NA,gbif,5.28,51.04,11.442307692307793,49.38461538461539,38
3382,Vespa velutina,BE,NA,gbif,4.93,50.99,11.442307692307736,50.07692307692308,25
3383,Vespa velutina,NL,NA,gbif,6,50.75,10.334615384615518,72.07692307692308,238
3384,Vespa velutina,BE,NA,gbif,4.49,50.82,NA,NA,101
3385,Vespa velutina,BE,NA,gbif,4.76,50.86,11.296153846153857,49.38461538461539,56
3386,Vespa velutina,BE,NA,gbif,4.41,50.98,11.480769230769283,54.61538461538461,10
3387,Vespa velutina,BE,NA,gbif,4.45,50.83,11.080769230769192,56.76923076923077,89
3388,Vespa velutina,NA,"25288 Lladurs, Lleida, Espanya",inat,1.44,42.07,12.342307692307712,60.69230769230769,705
3389,Vespa velutina,NA,"Righi Palace, 06100 Nice, France",inat,7.25,43.71,15.988461538461593,70.07692307692308,56
3390,Vespa velutina,NA,"Maison-Blanche, Paris, France",inat,2.35,48.83,12.373076923076953,52.61538461538461,52
3391,Vespa velutina,NA,"Square Jules César, Ermont, Île-de-France, FR",inat,2.27,48.98,12.326923076923094,52.92307692307692,42
3392,Vespa velutina,NA,"Grands Pins, 13009 Marseille, France",inat,5.44,43.25,15.165384615384651,41.30769230769231,180
3393,Vespa velutina,NA,Mons-en-Barœul,inat,3.12,50.64,11.426923076923115,59.46153846153846,31
3394,Vespa velutina,BE,NA,gbif,3.26,51.16,11.503846153846156,66.53846153846153,5
3395,Vespa velutina,NA,"Espaín, 36415 Mos, Pontevedra, Spain",inat,-8.61,42.2,14.503846153846268,156.3846153846154,150
3396,Vespa velutina,BE,NA,gbif,5.26,50.95,11.52692307692314,49.23076923076923,29
3397,Vespa velutina,BE,NA,gbif,4.35,50.87,11.442307692307793,57.84615384615385,34
3398,Vespa velutina,BE,NA,gbif,4.78,51.08,11.473076923076974,52.23076923076923,10
3399,Vespa velutina,BE,NA,gbif,4.64,50.77,11.365384615384642,48.61538461538461,53
3400,Vespa velutina,NA,Saint-Denis,inat,2.36,48.93,12.434615384615428,52.15384615384615,34
3401,Vespa velutina,BE,NA,gbif,4.43,51.31,11.411538461538498,62.15384615384615,6
3402,Vespa velutina,NL,NA,gbif,4.7,51.8,NA,NA,0
3403,Vespa velutina,NL,NA,gbif,3.75,51.45,11.480769230769226,67,-14
3404,Vespa velutina,BE,NA,gbif,4.85,51.31,11.326923076923094,60.84615384615385,25
3405,Vespa velutina,NL,NA,gbif,5.75,50.9,11.119230769230851,63.46153846153846,68
3406,Vespa velutina,NA,"Parc Naturel Régional des Baronnies Provençales, Venterol, Auvergne-Rhône-Alpes, FR",inat,5.12,44.38,12.619230769230851,59.15384615384615,475
3407,Vespa velutina,NA,"53370 Boulay-les-Ifs, France",inat,-0.12,48.42,NA,NA,218
3408,Vespa velutina,NA,"Jardin des Plantes, Nantes, France",inat,-1.54,47.22,13.003846153846212,79.3076923076923,13
3409,Vespa velutina,BE,NA,gbif,4.64,51.17,11.488461538461593,56.07692307692308,6
3410,Vespa velutina,BE,NA,gbif,4.85,50.82,11.11153846153843,49.15384615384615,70
3411,Vespa velutina,NA,"9645 Derenbach, Luxemburg",inat,5.88,50.01,NA,NA,483
3412,Vespa velutina,NA,"Georges Brassens, Paris, France",inat,2.3,48.83,12.334615384615404,51.23076923076923,64
3413,Vespa velutina,NL,NA,gbif,5.9,51.55,11.226923076923072,58.76923076923077,30
3414,Vespa velutina,NA,"79 Freiburg im Breisgau-Tiengen, Deutschland",inat,7.75,47.98,11.911538461538498,81.38461538461539,220
3415,Vespa velutina,BE,NA,gbif,4.6,51.15,11.503846153846156,55.84615384615385,5
3416,Vespa velutina,NL,NA,gbif,4.65,51.8,NA,NA,0
3417,Vespa velutina,NA,"Olot, Cataluña, España",inat,2.49,42.17,13.280769230769296,104.46153846153848,552
3418,Vespa velutina,BE,NA,gbif,3.24,50.79,11.365384615384642,60.23076923076923,34
3419,Vespa velutina,NA,"34430 Saint-Jean-de-Védas, France",inat,3.82,43.58,15.311538461538476,34.92307692307692,34
3420,Vespa velutina,BE,NA,gbif,3.92,51.12,11.442307692307736,59.84615384615385,4
3421,Vespa velutina,BE,NA,gbif,4.26,50.53,10.934615384615428,60.76923076923077,119
3422,Vespa velutina,BE,NA,gbif,4.36,50.86,11.419230769230808,57.69230769230769,34
3423,Vespa velutina,NA,Sankt Augustin,inat,7.19,50.77,11.519230769230774,55.84615384615385,65
3424,Vespa velutina,BE,NA,gbif,4.53,50.85,11.11923076923074,54.15384615384615,78
3425,Vespa velutina,NA,"Wandre, 4020 Liège, Belgique",inat,5.66,50.66,10.834615384615404,65.3076923076923,115
3426,Vespa velutina,BE,NA,gbif,4.26,51.01,11.465384615384664,56.38461538461539,11
3427,Vespa velutina,NA,"34560 Poussan, France",inat,3.68,43.49,15.288461538461604,31.307692307692307,32
3428,Vespa velutina,NA,"66111 Saarbrücken, Deutschland",inat,7,49.24,11.288461538461604,65.61538461538461,226
3429,Vespa velutina,NA,"77736 Zell am Harmersbach, Deutschland",inat,8.05,48.34,11.949999999999989,90.46153846153848,248
3430,Vespa velutina,BE,NA,gbif,4.35,51.13,11.473076923076974,57.69230769230769,9
3431,Vespa velutina,BE,NA,gbif,3.29,51.14,11.450000000000044,65.84615384615384,5
3432,Vespa velutina,BE,NA,gbif,4.14,51.16,11.357692307692332,61.38461538461539,19
