id,occurrence_id,latitude,longitude
251,2435,51.95,5.65
252,2348,51.18,-3.51
253,989,56,21.1
254,1961,40.54,-4.09
255,1738,44.04,4.42
256,1471,48.27,21.35
257,1362,46.45,11.3
258,243,52.35,4.95
259,2154,48.78,18.58
260,2059,51.24,-0.58
261,625,52.75,6.1
262,2296,53.62,12.11
263,461,51.2,3.95
264,2460,49.74,8.69
265,31,52.35,4.6
266,1950,50.99,-1.33
267,1139,51.35,5.15
268,2269,50.97,-0.48
269,94,37.26,-3.55
270,16,47.92,16.25
271,178,43.78,4.95
272,1436,52.1,4.3
273,2297,51.95,4.85
274,524,47.68,8.76
275,1461,51.65,5.9
276,924,46.18,6.15
277,1602,51.78,4.92
278,204,45.53,9.26
279,1146,51.54,-2.49
280,259,56.84,12.62
281,494,49.01,8.37
282,1889,51.42,-2.18
283,1784,46.96,16.15
284,2346,51.55,4.5
285,1355,50.96,4.26
286,1132,51.5,4.8
287,1325,53.96,12.62
288,10,38.9,-9.18
289,170,47.54,-1.84
290,1233,60.17,22.71
291,1851,52.2,6.85
292,2480,48.98,3.14
293,108,53.59,8.6
294,8,53.2,5.75
295,626,52.35,4.9
296,261,52.1,6.4
297,1098,50.8,5.95
298,1609,52.1,6
299,1911,52.1,6.5
300,1286,48.63,16.52
301,1760,51.55,5
302,2223,49.47,3.67
303,1747,46.65,4.06
304,1243,52.47,-2.18
305,667,40.21,-5.13
306,990,52.3,6.9
307,1143,47.27,-1.58
308,452,48.16,15.64
309,856,48.04,20.44
310,1948,49.84,6.91
311,1603,59.26,10.9
312,2361,45.43,15.66
313,646,42.08,12.39
314,1060,51.6,4.75
315,1264,51.6,4.5
316,891,41.1,-8.56
317,1656,51.6,5.7
318,1886,53.75,-0.74
319,1328,49.93,9.12
320,2491,46.87,4.34
321,2035,48.75,13.18
322,1636,48.22,16.36
323,793,51.5,7.71
324,1412,47.96,-2.73
325,1204,50.6,8.5
326,278,50.45,7.6
327,241,48.19,16.38
328,24,49.62,6.04
329,2290,52.2,6
330,2085,40.62,14.41
331,1327,51.9,4.55
332,1743,51.45,5.7
333,2067,52.45,6.05
334,1695,48.34,11.38
335,378,51.5,4.9
336,549,51.65,5.35
337,1639,51.25,3.85
338,2493,42.34,13.45
339,2096,43.36,-0.15
340,393,49.24,17.66
341,1395,48.08,-2.15
342,670,52.15,6.25
343,1213,42.25,12.22
344,311,52.1,6.05
345,1442,51.9,0.14
346,1406,51.44,-0.95
347,2086,50.1,8.9
348,1108,52.05,6.4
349,319,43.93,8.07
350,1862,47.54,19.03
351,1666,47.37,8.56
352,120,43.41,2.17
