occurrence_id,species,countryCode,location,source,longitude,latitude,tas_mean_c,prec_mean_annual,elevation_m,ecosystem_code,Temperatur,Moisture,Landcover,Landforms,Climate_Re,Red,Green,Blue,W_Ecosystm,color,NDVI
2947,Vespa velutina,BE,NA,gbif,4.46,50.98,1.0497979164123534,783,8,120,Cool Temperate,Moist,Settlement,Plains,Cool Temperate Moist,78,119,2,Cool Temperate Moist Settlement on Plains,#4E7702,0.42735
2953,Vespa velutina,BE,NA,gbif,3.75,51.04,1.0652593612670898,792,9,161,Warm Temperate,Moist,Settlement,Plains,Warm Temperate Moist,163,170,28,Warm Temperate Moist Settlement on Plains,#A3AA1C,0.4758291666666667
2957,Vespa velutina,NA,"Rua dos Remolares, Lisboa, Lisboa, PT",inat,-9.14,38.71,1.6865142822265624,703,27,169,Warm Temperate,Moist,Settlement,Hills,Warm Temperate Moist,136,158,52,Warm Temperate Moist Settlement on Hills,#889E34,0.34370833333333334
2960,Vespa velutina,NA,"Archanda, 48015, Vizcaya, España",inat,-2.92,43.27,1.3535219192504884,1158,75,171,Warm Temperate,Moist,Grassland,Mountains,Warm Temperate Moist,86,129,14,Warm Temperate Moist Grassland on Mountains,#56810E,0.6478416666666666
2965,Vespa velutina,NA,"17534 Ribes de Freser, Girona, Spain",inat,2.17,42.31,0.9148791313171388,930,1194,107,Cool Temperate,Moist,Grassland,Mountains,Cool Temperate Moist,26,83,0,Cool Temperate Moist Grassland on Mountains,#1A5300,0.6652375
2972,Vespa velutina,NL,NA,gbif,6.05,51.85,0.9773374557495116,766,11,116,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,29,153,10,Cool Temperate Moist Cropland on Plains,#1D990A,0.4983458333333333
2976,Vespa velutina,NA,"Valrico A, 4520, Portugal",inat,-8.56,40.88,1.443885612487793,1143,107,168,Warm Temperate,Moist,Cropland,Hills,Warm Temperate Moist,112,198,86,Warm Temperate Moist Cropland on Hills,#70C656,0.5800875
2983,Vespa velutina,NL,NA,gbif,5.1,52.1,0.9803396224975586,797,4,120,Cool Temperate,Moist,Settlement,Plains,Cool Temperate Moist,78,119,2,Cool Temperate Moist Settlement on Plains,#4E7702,0.5957041666666667
2986,Vespa velutina,BE,NA,gbif,4.38,51.02,1.039146900177002,785,7,116,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,29,153,10,Cool Temperate Moist Cropland on Plains,#1D990A,0.6509958333333333
2988,Vespa velutina,NA,"Chemin de vers-la-ville, Annot, Alpes-de-Haute-Provence",inat,6.67,43.97,0.998715591430664,897,890,176,Warm Temperate,Moist,Forest,Mountains,Warm Temperate Moist,49,105,3,Warm Temperate Moist Forest on Mountains,#316903,0.5445833333333333
